Datum;Tag;Monat;Stunde;Verbrauch
23.01. 06:00;23;01;06;0,062813
23.01. 07:00;23;01;07;0,082071
23.01. 08:00;23;01;08;0,088641
23.01. 09:00;23;01;09;0,11966
23.01. 10:00;23;01;10;0,16066
23.01. 11:00;23;01;11;0,16958
23.01. 12:00;23;01;12;0,15742
23.01. 13:00;23;01;13;0,15386
23.01. 14:00;23;01;14;0,15973
23.01. 15:00;23;01;15;0,18393
23.01. 16:00;23;01;16;0,20344
23.01. 17:00;23;01;17;0,23287
23.01. 18:00;23;01;18;0,25103
23.01. 19:00;23;01;19;0,24754
23.01. 20:00;23;01;20;0,2418
23.01. 21:00;23;01;21;0,21249
23.01. 22:00;23;01;22;0,15807
23.01. 23:00;23;01;23;0,10544
24.01. 00:00;24;01;00;0,063716
24.01. 01:00;24;01;01;0,039619
24.01. 02:00;24;01;02;0,033074
24.01. 03:00;24;01;03;0,031595
24.01. 04:00;24;01;04;0,031444
24.01. 05:00;24;01;05;0,028511
24.01. 06:00;24;01;06;0,062813
24.01. 07:00;24;01;07;0,082071
24.01. 08:00;24;01;08;0,088641
24.01. 09:00;24;01;09;0,11966
24.01. 10:00;24;01;10;0,16066
24.01. 11:00;24;01;11;0,16958
24.01. 12:00;24;01;12;0,15742
24.01. 13:00;24;01;13;0,15386
24.01. 14:00;24;01;14;0,15973
24.01. 15:00;24;01;15;0,18393
24.01. 16:00;24;01;16;0,20344
24.01. 17:00;24;01;17;0,23287
24.01. 18:00;24;01;18;0,25103
24.01. 19:00;24;01;19;0,24754
24.01. 20:00;24;01;20;0,2418
24.01. 21:00;24;01;21;0,21249
24.01. 22:00;24;01;22;0,15807
24.01. 23:00;24;01;23;0,10544
25.01. 00:00;25;01;00;0,063716
25.01. 01:00;25;01;01;0,039619
25.01. 02:00;25;01;02;0,033074
25.01. 03:00;25;01;03;0,031595
25.01. 04:00;25;01;04;0,031444
25.01. 05:00;25;01;05;0,028511
25.01. 06:00;25;01;06;0,062813
25.01. 07:00;25;01;07;0,082071
25.01. 08:00;25;01;08;0,088641
25.01. 09:00;25;01;09;0,11966
25.01. 10:00;25;01;10;0,16066
25.01. 11:00;25;01;11;0,16958
25.01. 12:00;25;01;12;0,15742
25.01. 13:00;25;01;13;0,15386
25.01. 14:00;25;01;14;0,15973
25.01. 15:00;25;01;15;0,18393
25.01. 16:00;25;01;16;0,20344
25.01. 17:00;25;01;17;0,23287
25.01. 18:00;25;01;18;0,25103
25.01. 19:00;25;01;19;0,24754
25.01. 20:00;25;01;20;0,2418
25.01. 21:00;25;01;21;0,21249
25.01. 22:00;25;01;22;0,15807
25.01. 23:00;25;01;23;0,10544
26.01. 00:00;26;01;00;0,072217
26.01. 01:00;26;01;01;0,047818
26.01. 02:00;26;01;02;0,034453
26.01. 03:00;26;01;03;0,031971
26.01. 04:00;26;01;04;0,031344
26.01. 05:00;26;01;05;0,028561
26.01. 06:00;26;01;06;0,061158
26.01. 07:00;26;01;07;0,070411
26.01. 08:00;26;01;08;0,07485
26.01. 09:00;26;01;09;0,11479
26.01. 10:00;26;01;10;0,16108
26.01. 11:00;26;01;11;0,17688
26.01. 12:00;26;01;12;0,17329
26.01. 13:00;26;01;13;0,18164
26.01. 14:00;26;01;14;0,17894
26.01. 15:00;26;01;15;0,18167
26.01. 16:00;26;01;16;0,19697
26.01. 17:00;26;01;17;0,22259
26.01. 18:00;26;01;18;0,2339
26.01. 19:00;26;01;19;0,22691
26.01. 20:00;26;01;20;0,22006
26.01. 21:00;26;01;21;0,18997
26.01. 22:00;26;01;22;0,1266
26.01. 23:00;26;01;23;0,085281
27.01. 00:00;27;01;00;0,066374
27.01. 01:00;27;01;01;0,049198
27.01. 02:00;27;01;02;0,037437
27.01. 03:00;27;01;03;0,033275
27.01. 04:00;27;01;04;0,032648
27.01. 05:00;27;01;05;0,029965
27.01. 06:00;27;01;06;0,050351
27.01. 07:00;27;01;07;0,053962
27.01. 08:00;27;01;08;0,047192
